;p;r;f;vc;a;vo
0;16.156384525943402;102.35044571826067;1000.0;20.0;0.25;529.9415690569999
1;14.201795570276495;100.6248323025682;1000.0;20.0;0.25;529.9415690569999
2;13.814602008152168;99.78366338049864;1000.0;20.0;0.25;529.9415690569999
3;17.143508920977006;98.8540019204319;1000.0;20.0;0.25;529.9415690569999
4;16.30722203456221;97.09503391473027;1000.0;20.0;0.25;529.9415690569999
5;16.032079786556597;96.16612875643223;1000.0;20.0;0.25;529.9415690569999
6;17.81008079922279;95.25482878317925;1000.0;20.0;0.25;529.9415690569999
7;17.08490423039216;93.39165364805595;1000.0;20.0;0.25;529.9415690569999
8;14.150217749999994;91.95278368332905;1000.0;20.0;0.25;529.9415690569999
9;15.995644509756097;90.98900986673388;1000.0;20.0;0.25;529.9415690569999
10;17.020537590476188;90.04522947207658;1000.0;20.0;0.25;529.9415690569999
11;16.94677773902439;89.03773040106033;1000.0;20.0;0.25;529.9415690569999
12;16.387845809756097;88.05252729842066;1000.0;20.0;0.25;529.9415690569999
13;15.649271781990521;87.04919403385342;1000.0;20.0;0.25;529.9415690569999
14;17.60766508376964;86.02969896859207;1000.0;20.0;0.25;529.9415690569999
15;16.299877311274503;84.9959642680349;1000.0;20.0;0.25;529.9415690569999
16;17.97284662827225;83.94986009242831;1000.0;20.0;0.25;529.9415690569999
17;16.43982816421568;82.89319952702883;1000.0;20.0;0.25;529.9415690569999
18;17.039477520631063;81.82773423747832;1000.0;20.0;0.25;529.9415690569999
19;16.913446127358494;102.35044571826067;1000.0;20.0;0.2;425.7737718099999
20;16.802150668292676;100.6248323025682;1000.0;20.0;0.2;425.7737718099999
21;16.343325345108703;99.78366338049864;1000.0;20.0;0.2;425.7737718099999
22;17.85019284054053;98.8540019204319;1000.0;20.0;0.2;425.7737718099999
23;17.312070351941752;97.09503391473027;1000.0;20.0;0.2;425.7737718099999
24;17.221285909420285;96.16612875643223;1000.0;20.0;0.2;425.7737718099999
25;17.75641357804878;95.25482878317925;1000.0;20.0;0.2;425.7737718099999
26;17.559814492647043;93.39165364805595;1000.0;20.0;0.2;425.7737718099999
27;15.714389699257442;91.95278368332905;1000.0;20.0;0.2;425.7737718099999
28;17.59116765609756;90.98900986673388;1000.0;20.0;0.2;425.7737718099999
29;17.926721615853655;90.04522947207658;1000.0;20.0;0.2;425.7737718099999
30;17.679596478048772;89.03773040106033;1000.0;20.0;0.2;425.7737718099999
31;17.909205317401966;88.05252729842066;1000.0;20.0;0.2;425.7737718099999
32;17.62278851724138;87.04919403385342;1000.0;20.0;0.2;425.7737718099999
33;17.8541628391089;86.02969896859207;1000.0;20.0;0.2;425.7737718099999
34;17.74456886764706;84.9959642680349;1000.0;20.0;0.2;425.7737718099999
35;17.907263068069305;83.94986009242831;1000.0;20.0;0.2;425.7737718099999
36;17.74839440886699;82.89319952702883;1000.0;20.0;0.2;425.7737718099999
37;17.890989427339896;81.82773423747832;1000.0;20.0;0.2;425.7737718099999
38;5.533353380239523;102.1315142835692;1000.0;20.0;0.03;53.34318991300002
39;5.282383022727269;100.4132133071895;1000.0;20.0;0.03;53.34318991300002
40;5.284249165562913;99.52367467966357;1000.0;20.0;0.03;53.34318991300002
41;5.912909450331124;98.64975811481116;1000.0;20.0;0.03;53.34318991300002
42;5.850233818862277;96.84884975166045;1000.0;20.0;0.03;53.34318991300002
43;5.730078726047904;95.92462667517549;1000.0;20.0;0.03;53.34318991300002
44;5.7869811904761885;95.01787647277334;1000.0;20.0;0.03;53.34318991300002
45;5.939302848214287;93.16386912696314;1000.0;20.0;0.03;53.34318991300002
46;2.8192640060606076;91.73195567256215;1000.0;20.0;0.03;53.34318991300002
47;6.079488820359283;90.77278123111901;1000.0;20.0;0.03;53.34318991300002
48;6.115855175149706;89.79122318301572;1000.0;20.0;0.03;53.34318991300002
49;5.857452748502994;88.78936853104342;1000.0;20.0;0.03;53.34318991300002
50;6.1392766204819305;87.80962377483881;1000.0;20.0;0.03;53.34318991300002
51;5.58531818539326;86.81178714103382;1000.0;20.0;0.03;53.34318991300002
52;6.033893946107786;85.75928680299704;1000.0;20.0;0.03;53.34318991300002
53;6.2955857365269425;84.73200164608448;1000.0;20.0;0.03;53.34318991300002
54;6.317240059880239;83.69234518416933;1000.0;20.0;0.03;53.34318991300002
55;6.058381023952095;82.64211670717197;1000.0;20.0;0.03;53.34318991300002
56;6.282336476047905;81.58305498089466;1000.0;20.0;0.03;53.34318991300002
57;1.6814388652173913;102.1315142835692;1000.0;20.0;0.03;53.57970719599998
58;1.4458369046242776;100.4132133071895;1000.0;20.0;0.03;53.57970719599998
59;1.768077158878504;99.52367467966357;1000.0;20.0;0.03;53.57970719599998
60;1.7962319285714279;98.64975811481116;1000.0;20.0;0.03;53.57970719599998
61;1.7570303387096777;96.84884975166045;1000.0;20.0;0.03;53.57970719599998
62;1.6670482482758617;95.92462667517549;1000.0;20.0;0.03;53.57970719599998
63;1.818436528225807;95.01787647277334;1000.0;20.0;0.03;53.57970719599998
64;1.8735430350877191;93.16386912696314;1000.0;20.0;0.03;53.57970719599998
65;1.17978235745614;91.73195567256215;1000.0;20.0;0.03;53.57970719599998
66;1.975868198198199;90.77278123111901;1000.0;20.0;0.03;53.57970719599998
